placette;fascine;type;espece;ID;numero;longueur touffe;largeur touffe;hauteur max feuille;nombre reprises;inflorescence;date;heure;operateur;remarques
1;1;;Carex nigra;CN1;1;0;0;0;12;non;01/09/2025;NA;BG;
1;1;;Carex nigra;CN2;2;4,5;4;15,5;4;oui;01/09/2025;NA;BG;
1;1;;Carex nigra;CN3;3;6;5;17;11;non;01/09/2025;NA;BG;mélange
1;1;;Carex nigra;CN4;4;6;5;13;5;oui;01/09/2025;NA;BG;mélange
1;1;;Carex nigra;CN5;5;5;3,5;19;8;non;01/09/2025;NA;BG;mélange
1;1;;Carex nigra;CN6;6;5;4,5;13;4;oui;01/09/2025;NA;BG;
1;1;;Carex nigra;CN7;7;5;4;20;8;oui;01/09/2025;NA;BG;mélange
1;1;;Carex nigra;CN8;8;2,5;2,5;13;5;non;01/09/2025;NA;BG;mélange
1;1;;Carex nigra;CN9;9;3;2,5;15;3;non;01/09/2025;NA;BG;
1;2;;Carex nigra;CN10;1;5;3;13;0;non;01/09/2025;NA;BG;
1;2;;Carex nigra;CN11;2;1,5;1;13,5;11;oui;01/09/2025;NA;BG;
1;2;;Carex nigra;CN12;3;4;3;17;2;oui;01/09/2025;NA;BG;
1;2;;Carex nigra;CN13;4;3;3;16;10;oui;01/09/2025;NA;BG;
1;2;;Carex nigra;CN14;5;4,5;3,5;13;5;oui;01/09/2025;NA;BG;
1;2;;Carex nigra;CN15;6;4;4;13,5;4;oui;01/09/2025;NA;BG;
1;2;;Carex nigra;CN16;7;3;2,5;14,5;2;non;01/09/2025;NA;BG;
1;2;;Carex nigra;CN17;8;2,5;2,5;15,5;2;oui;01/09/2025;NA;BG;
1;2;;Carex nigra;CN18;9;2,5;2,5;12;9;oui;01/09/2025;NA;BG;
2;1;;Eriophorum angustifolium;EA1;1;3;2,5;19,5;16;oui;01/09/2025;NA;BG;
2;1;;Eriophorum angustifolium;EA2;2;4;3,5;22;8;oui;01/09/2025;NA;BG;
2;1;;Eriophorum angustifolium;EA3;3;3,5;2,5;17,5;8;oui;01/09/2025;NA;BG;
2;1;;Eriophorum angustifolium;EA4;4;3;2;15;8;non;01/09/2025;NA;BG;
2;1;;Eriophorum angustifolium;EA5;5;1;1;13,5;7;non;01/09/2025;NA;BG;
2;1;;Eriophorum angustifolium;EA6;6;0,5;0,5;12,5;5;oui;01/09/2025;NA;BG;
2;1;;Eriophorum angustifolium;EA7;7;1,5;1;16;6;non;01/09/2025;NA;BG;
2;1;;Eriophorum angustifolium;EA8;8;4;2,5;16,5;9;non;01/09/2025;NA;BG;"mélange ; inflo carex"
2;1;;Eriophorum angustifolium;EA9;9;1,5;1,5;13;6;oui;01/09/2025;NA;BG;
2;2;;Eriophorum angustifolium;EA10;1;3,5;3;13;2;non;01/09/2025;NA;BG;mélange
2;2;;Eriophorum angustifolium;EA11;2;2,5;2;20;11;oui;01/09/2025;NA;BG;
2;2;;Eriophorum angustifolium;EA12;3;2;1,5;18;11;oui;01/09/2025;NA;BG;
2;2;;Eriophorum angustifolium;EA13;4;5;5;23;8;non;01/09/2025;NA;BG;"mélange ; inflo carex"
