"placette","fascine","type","espece","ID","numero","longueur.touffe","largeur.touffe","hauteur.max.feuille","nombre.reprises","inflorescence","date","heure","operateur","remarques","numero_suivi","annee"
1,1,"helophyte","Carex nigra","CN2",2,4.5,4,19,NA,NA,2023-09-20,"14:00","Benjamin",NA,1,"2023"
1,1,"helophyte","Carex nigra","CN6",6,4.5,3.5,22,NA,NA,2023-09-20,"14:00","Benjamin",NA,1,"2023"
1,1,"helophyte","Carex nigra","CN9",9,3,2.5,23.5,NA,NA,2023-09-20,"14:00","Benjamin",NA,1,"2023"
1,2,"helophyte","Carex nigra","CN10",1,7.5,4.5,19,NA,NA,2023-09-20,"14:00","Benjamin",NA,1,"2023"
1,2,"helophyte","Carex nigra","CN11",2,3.5,3,20.5,NA,NA,2023-09-20,"14:00","Benjamin",NA,1,"2023"
1,2,"helophyte","Carex nigra","CN12",3,4,3,20,NA,NA,2023-09-20,"14:00","Benjamin",NA,1,"2023"
1,2,"helophyte","Carex nigra","CN13",4,6,4,26.5,NA,NA,2023-09-20,"14:00","Benjamin",NA,1,"2023"
1,2,"helophyte","Carex nigra","CN14",5,4,3.5,19,NA,NA,2023-09-20,"14:00","Benjamin",NA,1,"2023"
1,2,"helophyte","Carex nigra","CN15",6,4.5,3.5,21.5,NA,NA,2023-09-20,"14:00","Benjamin",NA,1,"2023"
1,2,"helophyte","Carex nigra","CN16",7,5,4,21,NA,NA,2023-09-20,"14:00","Benjamin",NA,1,"2023"
1,2,"helophyte","Carex nigra","CN17",8,4.5,3,21,NA,NA,2023-09-20,"14:00","Benjamin",NA,1,"2023"
1,2,"helophyte","Carex nigra","CN18",9,3,2,19,NA,NA,2023-09-20,"14:00","Benjamin",NA,1,"2023"
2,3,"helophyte","Eriophorum angustifolium","EA1",1,3.5,3,31.5,NA,NA,2023-09-20,"14:30","Benjamin",NA,1,"2023"
2,3,"helophyte","Eriophorum angustifolium","EA2",2,4,3,29.5,NA,NA,2023-09-20,"14:30","Benjamin",NA,1,"2023"
2,3,"helophyte","Eriophorum angustifolium","EA3",3,4.5,3,33.5,NA,NA,2023-09-20,"14:30","Benjamin",NA,1,"2023"
2,3,"helophyte","Eriophorum angustifolium","EA4",4,2,0.5,28.5,NA,NA,2023-09-20,"14:30","Benjamin",NA,1,"2023"
2,3,"helophyte","Eriophorum angustifolium","EA5",5,1.5,1.5,30,NA,NA,2023-09-20,"14:30","Benjamin",NA,1,"2023"
2,3,"helophyte","Eriophorum angustifolium","EA6",6,3.5,2,28.5,NA,NA,2023-09-20,"14:30","Benjamin",NA,1,"2023"
2,3,"helophyte","Eriophorum angustifolium","EA7",7,2.5,2,23,NA,NA,2023-09-20,"14:30","Benjamin",NA,1,"2023"
2,3,"helophyte","Eriophorum angustifolium","EA9",9,3,2,32,NA,NA,2023-09-20,"14:30","Benjamin",NA,1,"2023"
2,4,"helophyte","Eriophorum angustifolium","EA11",2,3.5,2,42,NA,NA,2023-09-20,"14:30","Benjamin",NA,1,"2023"
2,4,"helophyte","Eriophorum angustifolium","EA12",3,5,3.5,28.5,NA,NA,2023-09-20,"14:30","Benjamin",NA,1,"2023"
