placette;fascine;ID;espece;numero;recouvrement touffe (cm2);recouvrement par fascine (cm2);surface fascine (cm2)
17;1;CV1;Chara vulgaris;1;15,72;141,48;6000
17;1;CV2;Chara vulgaris;2;15,72;141,48;6000
17;1;CV3;Chara vulgaris;3;15,72;141,48;6000
17;1;CV4;Chara vulgaris;4;15,72;141,48;6000
17;1;CV5;Chara vulgaris;5;15,72;141,48;6000
17;1;CV6;Chara vulgaris;6;15,72;141,48;6000
17;1;CV7;Chara vulgaris;7;15,72;141,48;6000
17;1;CV8;Chara vulgaris;8;15,72;141,48;6000
17;1;CV9;Chara vulgaris;9;15,72;141,48;6000
17;2;CV10;Chara vulgaris;10;15,72;141,48;6000
17;2;CV11;Chara vulgaris;11;15,72;141,48;6000
17;2;CV12;Chara vulgaris;12;15,72;141,48;6000
17;2;CV13;Chara vulgaris;13;15,72;141,48;6000
17;2;CV14;Chara vulgaris;14;15,72;141,48;6000
17;2;CV15;Chara vulgaris;15;15,72;141,48;6000
17;2;CV16;Chara vulgaris;16;15,72;141,48;6000
17;2;CV17;Chara vulgaris;17;15,72;141,48;6000
17;2;CV18;Chara vulgaris;18;15,72;141,48;6000
18;1;CG1;Chara globularis;19;15,72;141,48;6000
18;1;CG2;Chara globularis;20;15,72;141,48;6000
18;1;CG3;Chara globularis;21;15,72;141,48;6000
18;1;CG4;Chara globularis;22;15,72;141,48;6000
18;1;CG5;Chara globularis;23;15,72;141,48;6000
18;1;CG6;Chara globularis;24;15,72;141,48;6000
18;1;CG7;Chara globularis;25;15,72;141,48;6000
18;1;CG8;Chara globularis;26;15,72;141,48;6000
18;1;CG9;Chara globularis;27;15,72;141,48;6000
18;2;CG10;Chara globularis;28;15,72;141,48;6000
18;2;CG11;Chara globularis;29;15,72;141,48;6000
18;2;CG12;Chara globularis;30;15,72;141,48;6000
18;2;CG13;Chara globularis;31;15,72;141,48;6000
18;2;CG14;Chara globularis;32;15,72;141,48;6000
18;2;CG15;Chara globularis;33;15,72;141,48;6000
18;2;CG16;Chara globularis;34;15,72;141,48;6000
18;2;CG17;Chara globularis;35;15,72;141,48;6000
18;2;CG18;Chara globularis;36;15,72;141,48;6000
19;1;CV19;Chara vulgaris;37;15,72;141,48;6000
19;1;CV20;Chara vulgaris;38;15,72;141,48;6000
19;1;CV21;Chara vulgaris;39;15,72;141,48;6000
19;1;CV22;Chara vulgaris;40;15,72;141,48;6000
19;1;CV23;Chara vulgaris;41;15,72;141,48;6000
19;1;CV24;Chara vulgaris;42;15,72;141,48;6000
19;1;CV25;Chara vulgaris;43;15,72;141,48;6000
19;1;CV26;Chara vulgaris;44;15,72;141,48;6000
19;1;CV27;Chara vulgaris;45;15,72;141,48;6000
19;2;CV28;Chara vulgaris;46;15,72;141,48;6000
19;2;CV29;Chara vulgaris;47;15,72;141,48;6000
19;2;CV30;Chara vulgaris;48;15,72;141,48;6000
19;2;CV31;Chara vulgaris;49;15,72;141,48;6000
19;2;CV32;Chara vulgaris;50;15,72;141,48;6000
19;2;CV33;Chara vulgaris;51;15,72;141,48;6000
19;2;CV34;Chara vulgaris;52;15,72;141,48;6000
19;2;CV35;Chara vulgaris;53;15,72;141,48;6000
19;2;CV36;Chara vulgaris;54;15,72;141,48;6000
20;1;CG19;Chara globularis;55;15,72;141,48;6000
20;1;CG20;Chara globularis;56;15,72;141,48;6000
20;1;CG21;Chara globularis;57;15,72;141,48;6000
20;1;CG22;Chara globularis;58;15,72;141,48;6000
20;1;CG23;Chara globularis;59;15,72;141,48;6000
20;1;CG24;Chara globularis;60;15,72;141,48;6000
20;1;CG25;Chara globularis;61;15,72;141,48;6000
20;1;CG26;Chara globularis;62;15,72;141,48;6000
20;1;CG27;Chara globularis;63;15,72;141,48;6000
20;2;CG28;Chara globularis;64;15,72;141,48;6000
20;2;CG29;Chara globularis;65;15,72;141,48;6000
20;2;CG30;Chara globularis;66;15,72;141,48;6000
20;2;CG31;Chara globularis;67;15,72;141,48;6000
20;2;CG32;Chara globularis;68;15,72;141,48;6000
20;2;CG33;Chara globularis;69;15,72;141,48;6000
20;2;CG34;Chara globularis;70;15,72;141,48;6000
20;2;CG35;Chara globularis;71;15,72;141,48;6000
20;2;CG36;Chara globularis;72;15,72;141,48;6000
21;1;CV37;Chara vulgaris;73;15,72;141,48;6000
21;1;CV38;Chara vulgaris;74;15,72;141,48;6000
21;1;CV39;Chara vulgaris;75;15,72;141,48;6000
21;1;CV40;Chara vulgaris;76;15,72;141,48;6000
21;1;CV41;Chara vulgaris;77;15,72;141,48;6000
21;1;CV42;Chara vulgaris;78;15,72;141,48;6000
21;1;CV43;Chara vulgaris;79;15,72;141,48;6000
21;1;CV44;Chara vulgaris;80;15,72;141,48;6000
21;1;CV45;Chara vulgaris;81;15,72;141,48;6000
21;2;CV46;Chara vulgaris;82;15,72;141,48;6000
21;2;CV47;Chara vulgaris;83;15,72;141,48;6000
21;2;CV48;Chara vulgaris;84;15,72;141,48;6000
21;2;CV49;Chara vulgaris;85;15,72;141,48;6000
21;2;CV50;Chara vulgaris;86;15,72;141,48;6000
21;2;CV51;Chara vulgaris;87;15,72;141,48;6000
21;2;CV52;Chara vulgaris;88;15,72;141,48;6000
21;2;CV53;Chara vulgaris;89;15,72;141,48;6000
21;2;CV54;Chara vulgaris;90;15,72;141,48;6000
22;1;CG37;Chara globularis;91;15,72;141,48;6000
22;1;CG38;Chara globularis;92;15,72;141,48;6000
22;1;CG39;Chara globularis;93;15,72;141,48;6000
22;1;CG40;Chara globularis;94;15,72;141,48;6000
22;1;CG41;Chara globularis;95;15,72;141,48;6000
22;1;CG42;Chara globularis;96;15,72;141,48;6000
22;1;CG43;Chara globularis;97;15,72;141,48;6000
22;1;CG44;Chara globularis;98;15,72;141,48;6000
22;1;CG45;Chara globularis;99;15,72;141,48;6000
22;2;CG46;Chara globularis;100;15,72;141,48;6000
22;2;CG47;Chara globularis;101;15,72;141,48;6000
22;2;CG48;Chara globularis;102;15,72;141,48;6000
22;2;CG49;Chara globularis;103;15,72;141,48;6000
22;2;CG50;Chara globularis;104;15,72;141,48;6000
22;2;CG51;Chara globularis;105;15,72;141,48;6000
22;2;CG52;Chara globularis;106;15,72;141,48;6000
22;2;CG53;Chara globularis;107;15,72;141,48;6000
22;2;CG54;Chara globularis;108;15,72;141,48;6000
23;1;CV55;Chara vulgaris;109;15,72;141,48;6000
23;1;CV56;Chara vulgaris;110;15,72;141,48;6000
23;1;CV57;Chara vulgaris;111;15,72;141,48;6000
23;1;CV58;Chara vulgaris;112;15,72;141,48;6000
23;1;CV59;Chara vulgaris;113;15,72;141,48;6000
23;1;CV60;Chara vulgaris;114;15,72;141,48;6000
23;1;CV61;Chara vulgaris;115;15,72;141,48;6000
23;1;CV62;Chara vulgaris;116;15,72;141,48;6000
23;1;CV63;Chara vulgaris;117;15,72;141,48;6000
23;2;CV64;Chara vulgaris;118;15,72;141,48;6000
23;2;CV65;Chara vulgaris;119;15,72;141,48;6000
23;2;CV66;Chara vulgaris;120;15,72;141,48;6000
23;2;CV67;Chara vulgaris;121;15,72;141,48;6000
23;2;CV68;Chara vulgaris;122;15,72;141,48;6000
23;2;CV69;Chara vulgaris;123;15,72;141,48;6000
23;2;CV70;Chara vulgaris;124;15,72;141,48;6000
23;2;CV71;Chara vulgaris;125;15,72;141,48;6000
23;2;CV72;Chara vulgaris;126;15,72;141,48;6000
24;1;CG55;Chara globularis;127;15,72;141,48;6000
24;1;CG56;Chara globularis;128;15,72;141,48;6000
24;1;CG57;Chara globularis;129;15,72;141,48;6000
24;1;CG58;Chara globularis;130;15,72;141,48;6000
24;1;CG59;Chara globularis;131;15,72;141,48;6000
24;1;CG60;Chara globularis;132;15,72;141,48;6000
24;1;CG61;Chara globularis;133;15,72;141,48;6000
24;1;CG62;Chara globularis;134;15,72;141,48;6000
24;1;CG63;Chara globularis;135;15,72;141,48;6000
24;2;CG64;Chara globularis;136;15,72;141,48;6000
24;2;CG65;Chara globularis;137;15,72;141,48;6000
24;2;CG66;Chara globularis;138;15,72;141,48;6000
24;2;CG67;Chara globularis;139;15,72;141,48;6000
