espece;type;localisation;zone;espece plantee;remarque;date;observateurs
Festuca laevigata;Terrestre;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Festuca gp. rubra;Terrestre;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Phleum pratense;Terrestre;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Plantago serpentina;Terrestre;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Epilobium angustifolium;Terrestre;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Taraxacum sp.;Terrestre;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Bryophytes;Indéterminé;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Achilea millefolium;Terrestre;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Agrostis stolonifera;Semi-aquatique;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Poa alpina;Terrestre;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Saxifraga moschata;Terrestre;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Leontodon hispidus;Terrestre;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Dryopteris filix-mas;Terrestre;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Adenostyle alpina;Terrestre;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Bromopsis riparia;Terrestre;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Petasites albus;Terrestre;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Salix caprea;Terrestre;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Epilobium flecheri;Terrestre;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Hieracium sp.;Terrestre;Berge;NA;NA;;06/08/2025;Mathias Pires, Adeline François
Carex nigra;Semi-aquatique;Fascine;1;Carex nigra;;06/08/2025;Mathias Pires, Adeline François
Poa supina;Terrestre;Fascine;1;Carex nigra;;06/08/2025;Mathias Pires, Adeline François
Bryophytes;Indéterminé;Fascine;1;Carex nigra;;06/08/2025;Mathias Pires, Adeline François
