placette;fascine;cote alti gauche;cote alti centre;cote alti droite;cote alti moy;date releve;operateur
1;1;2212,042171;2212,096769;2212,06615;2212,068363;07/08/2025;Alice Gay
1;2;2212,054239;2212,051222;2212,044586;2212,050016;07/08/2025;Alice Gay
2;1;2212,069099;2212,10906;2212,046466;2212,074875;07/08/2025;Alice Gay
2;2;2212,087234;2212,055063;2212,072213;2212,071503;07/08/2025;Alice Gay
3;1;2212,060195;2212,066364;2212,073549;2212,066703;07/08/2025;Alice Gay
3;2;2212,084207;2212,070605;2212,035405;2212,063406;07/08/2025;Alice Gay
4;1;2212,06308;2212,061861;2212,057161;2212,060701;07/08/2025;Alice Gay
4;2;2212,065491;2212,065816;2212,048978;2212,060095;07/08/2025;Alice Gay
5;1;2212,082428;2212,094541;2212,03873;2212,0719;07/08/2025;Alice Gay
5;2;2212,084894;2212,062836;2212,079319;2212,075683;07/08/2025;Alice Gay
6;1;2212,068303;2212,077364;2212,049739;2212,065135;07/08/2025;Alice Gay
6;2;2212,068156;2212,056199;2212,067338;2212,063898;07/08/2025;Alice Gay
7;1;2212,068541;2212,05414;2212,07352;2212,0654;07/08/2025;Alice Gay
7;2;2212,022324;2212,076582;2212,051802;2212,050236;07/08/2025;Alice Gay
8;1;2212,048747;2212,089507;2212,068238;2212,068831;07/08/2025;Alice Gay
8;2;2212,08126;2212,092019;2212,091519;2212,088266;07/08/2025;Alice Gay
9;1;2212,048013;2212,075289;2212,080929;2212,068077;07/08/2025;Alice Gay
9;2;2212,040655;2212,058933;2212,096328;2212,065305;07/08/2025;Alice Gay
10;1;2212,084805;2212,092072;2212,072974;2212,083284;07/08/2025;Alice Gay
10;2;2212,053997;2212,08067;2212,042748;2212,059138;07/08/2025;Alice Gay
11;1;2212,02744;2212,072659;2212,084823;2212,061641;07/08/2025;Alice Gay
11;2;2212,022082;2212,038721;2212,037156;2212,032653;07/08/2025;Alice Gay
12;1;2212,083958;2212,046815;2212,046652;2212,059142;07/08/2025;Alice Gay
12;2;2212,028729;2212,058979;2212,088377;2212,058695;07/08/2025;Alice Gay
13;1;2212,090083;2212,113646;2212,06823;2212,090653;07/08/2025;Alice Gay
13;2;2212,055572;2212,078007;2212,050126;2212,061235;07/08/2025;Alice Gay
14;1;2212,057727;2212,087509;2212,0603;2212,068512;07/08/2025;Alice Gay
14;2;2212,041998;2212,032753;2212,036832;2212,037194;07/08/2025;Alice Gay
15;1;2212,041305;2212,082233;2212,046495;2212,056678;07/08/2025;Alice Gay
15;2;2212,065579;2212,043327;2212,033938;2212,047615;07/08/2025;Alice Gay
16;1;2212,054083;2212,09173;2212,056495;2212,067436;07/08/2025;Alice Gay
16;2;2212,058638;2212,107784;2212,071789;2212,079404;07/08/2025;Alice Gay
